GAS_LINES,gas_line_gz1,gas_line_gz2,gas_line_length
AZ_CA,AZ,CA,727.5695506
AZ_CO,AZ,CO,907.0391788
AL_FL,AL,FL,756.9661143
AL_GA,AL,GA,270.0678901
FL_GA,FL,GA,654.4096075
IA_IL,IA,IL,394.4850436
IL_IN,IL,IN,219.3592597
CO_KS,CO,KS,765.6633427
IN_KY,IN,KY,273.197624
IL_KY,IL,KY,470.0018315
AR_LA,AR,LA,503.3214455
CT_MA,CT,MA,151.7088258
DC_MD,DC,MD,31.65576696
DE_MD,DE,MD,109.7734152
IN_MI,IN,MI,347.7517836
IA_MN,IA,MN,365.2019298
IA_MO,IA,MO,398.5201186
KS_MO,KS,MO,370.8883877
AR_MO,AR,MO,367.5825415
IL_MO,IL,MO,456.1470268
KY_MO,KY,MO,612.7644775
AL_MS,AL,MS,268.4348988
AR_MS,AR,MS,401.8291529
LA_MS,LA,MS,277.3833646
ID_MT,ID,MT,416.9715272
GA_NC,GA,NC,456.9605028
MT_ND,MT,ND,910.4157402
MN_ND,MN,ND,502.0966546
KS_NE,KS,NE,310.4798359
IA_NE,IA,NE,366.5394759
MO_NE,MO,NE,533.9039615
CO_NE,CO,NE,693.9699742
MA_NH,MA,NH,98.58425009
ME_NH,ME,NH,188.7506894
DE_NJ,DE,NJ,153.3996177
CO_NM,CO,NM,552.96532
AZ_NM,AZ,NM,527.1210949
AZ_NV,AZ,NV,569.4899528
CA_NV,CA,NV,332.7244613
ID_NV,ID,NV,803.5478404
MA_NY,MA,NY,284.6555845
NJ_NY,NJ,NY,120.3023197
CT_NY,CT,NY,147.5460656
KY_OH,KY,OH,362.7494582
IN_OH,IN,OH,298.5867594
MI_OH,MI,OH,294.7186862
MO_OK,MO,OK,518.0114429
KS_OK,KS,OK,320.850462
AR_OK,AR,OK,382.5977306
CO_OK,CO,OK,857.1605082
NM_OK,NM,OK,873.7357759
ID_OR,ID,OR,588.7100799
NV_OR,NV,OR,1009.789824
CA_OR,CA,OR,1068.301982
DE_PA,DE,PA,174.3831161
MD_PA,MD,PA,147.675085
OH_PA,OH,PA,486.9329936
NY_PA,NY,PA,231.0076804
NJ_PA,NJ,PA,218.903137
MA_RI,MA,RI,58.20709573
CT_RI,CT,RI,121.4381194
GA_SC,GA,SC,275.6282093
NC_SC,NC,SC,209.633002
ND_SD,ND,SD,371.9690446
MN_SD,MN,SD,450.1685495
NE_SD,NE,SD,345.0671052
IA_SD,IA,SD,537.6118006
MT_SD,MT,SD,1008.786328
AL_TN,AL,TN,313.8528727
AR_TN,AR,TN,576.0706697
KY_TN,KY,TN,245.3777304
NC_TN,NC,TN,605.9915774
GA_TN,GA,TN,352.4806199
MS_TN,MS,TN,465.2146615
MO_TN,MO,TN,595.0617699
NM_TX,NM,TX,937.61417
LA_TX,LA,TX,559.9754395
AR_TX,AR,TX,644.7959905
OK_TX,OK,TX,524.7733974
AZ_UT,AZ,UT,782.9700025
NV_UT,NV,UT,528.4658811
NM_UT,NM,UT,808.1414855
ID_UT,ID,UT,503.4120243
CO_UT,CO,UT,581.5514734
MD_VA,MD,VA,172.3921041
DC_VA,DC,VA,140.8927263
NC_VA,NC,VA,301.4572228
KY_VA,KY,VA,653.5847667
TN_VA,TN,VA,793.0202394
NY_VT,NY,VT,324.9270876
NH_VT,NH,VT,151.2623579
MA_VT,MA,VT,234.8322826
ID_WA,ID,WA,606.489076
OR_WA,OR,WA,297.4552629
MI_WI,MI,WI,401.541817
IA_WI,IA,WI,382.3454125
IL_WI,IL,WI,276.2442036
MN_WI,MN,WI,397.1030407
KY_WV,KY,WV,408.8116993
MD_WV,MD,WV,342.3505151
PA_WV,PA,WV,368.2490126
OH_WV,OH,WV,253.9901962
VA_WV,VA,WV,277.7496107
ID_WY,ID,WY,681.8851773
NE_WY,NE,WY,821.0614708
SD_WY,SD,WY,665.0292317
MT_WY,MT,WY,567.380325
UT_WY,UT,WY,481.3178789
CO_WY,CO,WY,385.867399
